ListingType,description,bedroom,FullBathrooms,HalfBathrooms,BathroomDescription,InteriorFeatures,CoolingFeatures,HeatingFeatures,DiningRoomDescription,ExteriorandLotFeatures,WaterFeatures,WaterfrontDescription,PoolFeatures,PoolDescription,ManufacturedMode,GarageSpaces,ParkingFeatures,HomeFeaturesView,OtherEquipment,ElementarySchool,HighSchool,MiddleSchool,AssociationFeeAmenitie,Association,AssociationAmenities,AssociationFee,AssociationFeeFrequency,CalculatedTotalMonthlyAssociation,MaintenanceDescription,PetDescription,SourceListingStatus,County,Directions,TaxYear,Restrictions,SourcePropertyType,Area,SourceNeighborhood,PostalCode,PublicSurveySection,Subdivision,Zoning,SourceSystemName,TotalSquareFeetLiving,YearBuilt,ConstructionMaterials,DirectionFaces,PropertyAge,Roof,LevelsorStories,StructureType,HouseStyle,TotalAreaSqft,YearBuiltDetails,ArchitecturalStyle,Sewer,WaterSource
buy,"Nice 1/1 condo in West Hialeah, with stainless steel appliances. 24 hrs notice for all showings.",1.0,1.0,,None,None,Central Cooling,Central Heat,None,None,None,None,None,None,None,1.0,1 Space,None,None,None,None,None,None,Yes,Condo,146,Monthly,146,"Pool Service, Trash Removal",Maximum 20 Lbs,Active,Miami-Dade County,use google maps.,2020,Other Restrictions,Condo,20,FLAMENCO CONDO,Post,25,FLAMENCO CONDO,None,C2C,617.0,,CBS Construction,None,49.0,None,None,Condo/Co-Op/Villa/Townhouse,Condo 1-4 Stories,617,Resale,Condo 1-4 Stories,None,None
buy,"Located in the prestigious golf community of Loch Lochmond is this 4, 188 SF custom home on an oversized 13, 910 SF lot. Updated, open and airy the property Features 5 Large bedrooms (2 ensuites with massive walk in closets) and 4 bathrooms which can easily accommodate a large family. Enjoy evenings under the large back yard terrace overlooking the pool or watch beautiful sunsets on the large open 2nd floor terrace. Under the gazebo cook meals for the family on the outdoor kitchen. This home is perfect for entertaining! Additional items to take note of are the newer A/Cs, new washer and dryer and 2 car garage.",5.0,4.0,,"2 Master Bathrooms, Bidet, Dual Sinks, Separate Tub & Shower",Walk-In Closets,"Central Cooling, Electric Cooling","Central Heat, Electric Heat",None,Open Porch,None,None,Y,Below Ground Pool,None,2.0,"Covered Parking, Driveway, Guest Parking",None,None,None,None,None,"Gated Community, Golf Course Community",Yes,None,40,Annually,3,None,None,Active,Miami-Dade County,"Miami Lakeway North, turn onto Turnberry Dr, past the guard gate and turn left on East Troon Circle, then make the next left onto Berwick Way to S Prestwick. Make a right on S. Prestwick. S. Prestwick becomes W. Prestwick, the home will be on the right",2020,No Restrictions,Single,20,MIAMI LAKES - LOCH LOMOND,Post,14,MIAMI LAKES - LOCH LOMOND,0100,C2C,4188.0,,CBS Construction,West,48.0,Curved/S-Tile Roof,2,Single Family,Pool Only,4188,Effective Year Built,Detached,Municipal Sewer,Municipal Water
buy,"In the middle of Miami Dade County north of Miami international Air Port located in Hialeah this 2 bedrooms and 2 bathrooms boost 852 sq ft of living space. Very nice gated and quiet community near major highways, shopping malls, shopping plazas, restaurants, schools, parks, entertainment and Hialeah Park Racing & Casino to enjoy.",2.0,2.0,,None,Elevator,Central Cooling,Electric Heat,None,Fence,None,None,None,None,None,,"Guest Parking, Open Space Parking, Other Parking",None,None,None,None,None,None,Yes,Condo,301,Monthly,301,"All Amenities, Building Exterior, Common Area, Elevator, Insurance, Landscaping/Lawn Maintenance, Sewer, Trash Removal",Maximum 20 Lbs,Active,Miami-Dade County,Google map,2020,Ok To Lease,Condo,20,KINGS COVE CONDO,Post,26,KINGS COVE CONDO,None,C2C,852.0,,Concrete Block Construction,None,48.0,None,None,Condo/Co-Op/Villa/Townhouse,Condo 5+ Stories,852,Resale,Condo 5+ Stories,None,None
buy,"Lovely 2 bedroom, 1.5 bathroom townhome in the heart of Hialeah with gorgeous water views and no HOA! From the curb appeal of the charming porch on the exterior to the updated features on the interior, this home has so much potential. This home features an open floor plan, beautifully wooden cabinetry in the kitchen and beautifully updated bathrooms. Views of the pool and screened-in patio can be appreciated from almost every room in this home. On the exterior of the home you will find a spacious patio and gorgeous lake views making this home perfect for outdoor entertaining where you and your guests can enjoy a true Florida lifestyle. Best of all this property is conveniently located near shopping, dining, and more.",2.0,1.0,1.0,None,Walk-In Closets,Central Cooling,Electric Heat,None,Patio,None,Lake Front,None,None,None,,Driveway,None,None,Palm Lakes,Hialeah-Miami Lakes,Miami Lakes,None,No,None,None,None,0,None,None,Active,Miami-Dade County,Please use Google Maps.,2019,"No Restrictions, Ok To Lease",Single,20,Lake Orleans East,Post,26,Lake Orleans East,2800 - TOWNHOUSE,C2C,,,CBS Construction,North,51.0,Shingle Roof,2,Single Family,WF/No Ocean Access,None,Resale,Attached,Sewer,Municipal Water
buy,"Stunning and move in ready 5 bedroom, 3 baths home in the exclusive, gated community of Miami Lakes Loch-Lomond. FULLY UPGRADED home with the finest finishes, spectacular chef kitchen with top of the line stainless steel appliances (Wolf, Sub-Zero & Miele) overlooking the pool area. Elegant and spacious master-bedroom, large master bath with double shower under a beautiful natural skylight and built-in walking closet with ample space. Marble floors all throughout and wood floors in bedrooms. Fenced backyard with heated pool, spa and built-in BBQ grill. Plenty of parking space area with carport and 2 car garage. Impact windows and doors. This is the perfect home for a family and guests.",5.0,3.0,,"Bidet, Shower Only",Window Features: Impact Glass,"Ceiling Fans, Central Cooling",Central Heat,"Dining/Living Room, Family/Dining Combination",Patio,None,None,Y,"Below Ground Pool, Concrete, Equipment Stays, Heated, Screened",None,2.0,"Circular Drive, Driveway",None,None,None,None,None,"Card/Electric Gate, Gated Community, Golf Course Community, Paved Road, Security Patrol, Street Lights, Underground Utilities",None,None,None,Yearly,None,None,None,Active,Miami-Dade County,None,2020,No Restrictions,Single,20,MIAMI LAKES - LOCH LOMOND,Post,14,MIAMI LAKES - LOCH LOMOND,0100,C2C,4155.0,,CBS Construction,West,55.0,Other Roof,1,Single Family,Pool Only,4155,Resale,Attached,Municipal Sewer,Municipal Water
buy,"Nice house on one of the best Hialeah West neighborhood , new impact windows , new pavers circular drive way , new roof , not neighbors on back , very closed to express ways , you can have a Four bedroom if needed or in law quarter , fruit trees , new metal fence on part of house",3.0,2.0,,None,First Floor Entry,"Ceiling Fans, Central Cooling, Electric Cooling",Central Heat,None,Room For Pool,None,None,None,None,None,,"Circular Drive, Driveway",None,None,None,None,None,None,None,None,None,None,None,None,None,Active,Miami-Dade County,None,2020,"Ok To Lease, No Restrictions",Single,20,PALM SPRINGS LAKES 5TH AD,Post,26,PALM SPRINGS LAKES 5TH AD,0100,C2C,1971.0,1968.0,CBS Construction,East,53.0,Shingle Roof,1,Single Family,R30-No Pool/No Water,1971,None,Detached,Municipal Sewer,Municipal Water
buy,"Excellent opportunity to own this stunning corner townhouse in the heart of Miami Lakes! Spacious 3 bedrooms, 2 baths, featuring a remodeled kitchen with quartz countertop, and stainless steel appliances. Open layout is perfect to entertain family and friends. Come relax in your patio with plenty of shade and space, where you can barbeque and sit by the firepit. Located in Miami Lakes Loch Andrews in walking distance to Mainstreet, restaurants, and shopping. Beautiful home, ready for new owners!",3.0,2.0,,None,Split Bedroom,Central Cooling,Central Heat,None,Open Porch,None,None,None,None,None,,"2 Or More Spaces, Guest Parking",None,None,None,None,None,None,Yes,Homeowners,900,Annually,75,Other Maintenance Includes,Restrictions Or Possible Restrictions,Active With Contract,Miami-Dade County,None,2020,Other Restrictions,Townhouse,20,MIAMI LAKES LOCH ANDREWS,Post,14,MIAMI LAKES LOCH ANDREWS,None,C2C,1860.0,,CBS Construction,East,45.0,None,None,Condo/Co-Op/Villa/Townhouse,Townhouse Condo,1860,Resale,Townhouse Condo,None,None
buy,"Short sale subject to lender approval. Condo in the heart of Hialeah, great investment opportunity, Low HOA. Requested your Appointment today this property wont last. Contact Listing Agent for Showing Instructions.",2.0,2.0,,None,Walk-In Closets,None,Central Heat,None,None,None,None,None,None,None,1.0,"1 Space, Assigned Parking",None,None,Twin Lakes,Hialeah-Miami Lakes,Hialeah,None,Yes,Condo,232,Monthly,232,Common Area,Restrictions Or Possible Restrictions,Active,Miami-Dade County,None,2020,Ok To Lease,Condo,20,LANCASTER CONDO,Post,25,LANCASTER CONDO,None,C2C,1120.0,,CBS Construction,None,49.0,None,None,Condo/Co-Op/Villa/Townhouse,Condo 5+ Stories,1120,Resale,Condo 5+ Stories,None,None
buy,"One of a kind townhouse for sale, this is one in a life time opportunity to own this completely remodeled townhome in the best area of Hialeah. To Begin with, there is one room that can easily be converted to a bedroom in the first floor, the townhouse features TWO AC units, one in the first floor and one in the second floor, remodeled granite kitchen, remodeled half bathroom downstairs, marble stairs, remodeled marble master bathroom featuring a state of the art jacuzzi and shower and marble vanity top, custom built closet, remodeled bathroom in the second bedroom, hurricane impact sliding door and window and so much more. ONLY $19.00 HOA. Centrally located just minutes away from taking State Road 924 which connects Interstate 75 and the Palmetto Expressway North or South.",3.0,2.0,,None,"Window Features: High Impact Windows, Impact Glass",Central Cooling,Central Heat,None,Hurricane Shutters,None,None,None,None,None,,2 Or More Spaces,None,None,None,None,None,None,Yes,Homeowners,19,Monthly,19,"Common Area, Landscaping/Lawn Maintenance",None,Pending,Miami-Dade County,None,2019,Ok To Lease,Townhouse,21,2ND ADDN TO PALM SPRINGS,Post,30,2ND ADDN TO PALM SPRINGS,None,C2C,1716.0,,Stucco Exterior Construction,None,47.0,None,None,Condo/Co-Op/Villa/Townhouse,Townhouse Fee Simple,1716,Resale,Townhouse Fee Simple,None,None
buy,No Association! Beautiful townhouse 3 bedrooms 2 and half bathrooms in the heart of Hialeah.,3.0,2.0,1.0,None,First Floor Entry,"Ceiling Fans, Central Cooling",Electric Heat,Dining/Living Room,Patio,None,None,None,None,None,2.0,2 Or More Spaces,None,None,None,None,None,None,None,None,None,None,None,No Maintenance Included,None,Active,Miami-Dade County,None,2019,Ok To Lease,Townhouse,20,FIRST ADDN TO PALM SPRING,Post,26,FIRST ADDN TO PALM SPRING,None,C2C,1520.0,,Concrete Block Construction,None,49.0,None,None,Condo/Co-Op/Villa/Townhouse,Townhouse Fee Simple,1520,Resale,Townhouse Fee Simple,None,None
buy,"RARE CYPRESS VILLAGE SPACIOUS 3 Bedroom 2 Bath unit situated in the heart of Miami Lakes. Stainless steel appliances, washer and dryer inside unit. Conveniently located near Cypress Village Shopping Center, Main Street, restaurants and the Palmetto Expressway.",3.0,2.0,,Tub Only,Walk-In Closets,Central Cooling,Central Heat,None,Open Balcony,None,None,None,None,None,,"1 Space, Assigned Parking, Guest Parking",None,None,Miami Lakes,Hialeah-Miami Lakes,Miami Lakes,None,Yes,Condo,348,Monthly,348,"Building Exterior, Common Area, Insurance, Landscaping/Lawn Maintenance, Laundry Facilities, Parking, Pool Service, Recreation Facilities, Reserve Fund, Roof Repairs, Security, Sewer, Trash Removal, Water",Restrictions Or Possible Restrictions,Active With Contract,Miami-Dade County,USE GPS,2020,"Ok To Lease, No Restrictions, Okay To Lease 1st Year",Condo,20,CYPRESS VILLAGE CONDO,Post,23,CYPRESS VILLAGE CONDO,None,C2C,1280.0,,CBS Construction,None,49.0,None,None,Condo/Co-Op/Villa/Townhouse,Condo 1-4 Stories,1280,Effective Year Built,Condo 1-4 Stories,None,None
buy,"AMAZING OPPORTUNITY TO OWN A FULLY REMODELED MOVE IN READY UNIT!! 2/2 Condo in west hialeah. Open family/living room, Kitchen has granite countertops and breakfast nook. Bathrooms are fully remodeled with tile flooring and neutral color palette throughout. Low maintenance fee, includes trash and water. Quiet building with assigned Parking space. Unit overlooks pool area. This is a true turn key ready.",2.0,2.0,,None,First Floor Entry,Central Cooling,Central Heat,None,Fruit Trees,None,None,None,None,None,1.0,"1 Space, 2 Or More Spaces, Assigned Parking",None,None,None,None,None,None,Yes,Homeowners,282,Monthly,282,"All Amenities, Elevator, Landscaping/Lawn Maintenance, Laundry Facilities, Outside Maintenance, Parking, Trash Removal, Water",Restrictions Or Possible Restrictions,Active With Contract,Miami-Dade County,None,2020,Other Restrictions,Condo,21,GRATIGNY PLAZA CONDO,Post,30,GRATIGNY PLAZA CONDO,None,C2C,1095.0,,"Concrete Block Construction, CBS Construction, Metal Construction",None,47.0,None,None,Condo/Co-Op/Villa/Townhouse,Condo 1-4 Stories,1095,Effective Year Built,Condo 1-4 Stories,None,None
buy,"LOCATION LOCATION LOCATION! VERY QUIET FAMILY COMMUNITY AND WITHOUT HOA!!! THIS HOME IS MINUTES FROM RESTAURANTS, SHOPPING, HOSPITALS, A-RATED SCHOOLS AND MAJOR HIGHWAYS. THE HOME FEATURES 2 MASTER BEDROOMS WITH PRIVATE BATHROOMS, A THIRD LIVING AREA THAT CAN BE CONVERTED INTO A BEDROOM, COVERED PATIO FOR ENTERTAINMENT WITH A STORAGE SHED, LARGE CARPORT AND RECENTLY RENOVATED KITCHEN AND BATHROOMS WITH NEW APPLIANCES. PROPERTY IS TENANT OCCUPIED UNTIL MAY 1ST, 2021 AND ALL SHOWINGS ARE BY APPOINTMENT ONLY.",2.0,2.0,1.0,None,Walk-In Closets,"Ceiling Fans, Central Cooling",Central Heat,None,Hurricane Shutters,None,None,None,None,None,,2 Or More Spaces,None,None,Palm Lakes,Hialeah-Miami Lakes,None,None,None,None,None,None,None,No Maintenance Included,None,Pending,Miami-Dade County,None,2019,No Restrictions,Townhouse,20,FIRST ADDN TO PALM SPRING,Post,26,FIRST ADDN TO PALM SPRING,None,C2C,1408.0,,CBS Construction,None,49.0,None,None,Condo/Co-Op/Villa/Townhouse,Townhouse Condo,1408,Resale,Townhouse Condo,None,None
buy,"Prime location in the heart of Miami Lakes. Across from Miami Lakes Optimist Park, this two bedroom two bathroom lake front property is ready and waiting for someone to really make it their own. Tiled floors throughout, close to schools, major roadways, transportation, and entertainment. Minutes walking distance from the shoppes of Main Street. Low HOA , easy to maintain. Make an offer while theres still an opportunity to own a slice of Miami Lakes.",2.0,2.0,,None,First Floor Entry,Central Cooling,Central Heat,None,Screened Balcony,None,Lake Front,None,None,None,,2 Or More Spaces,None,None,None,None,None,None,Yes,Homeowners,525,Annually,44,Other Maintenance Includes,Restrictions Or Possible Restrictions,Active,Miami-Dade County,None,2020,Other Restrictions,Condo,20,MIAMI LAKES LOCH LOMOND E,Post,14,MIAMI LAKES LOCH LOMOND E,None,C2C,1860.0,,Concrete Block Construction,None,49.0,None,None,Condo/Co-Op/Villa/Townhouse,Townhouse Fee Simple,1860,Resale,Townhouse Fee Simple,None,None
buy,Beautiful corner apartment remodeled very comfortably and spacious near Ameliah Park SHOWING ONLY ON SATURDAY ( 10 AM --- 6 PM ) APPOINTMENTS ONLY,2.0,1.0,1.0,None,Second Floor Entry,Central Cooling,Central Heat,None,Open Balcony,None,None,None,None,None,2.0,2 Or More Spaces,None,None,None,None,None,None,Yes,Condo,250,Monthly,250,"Building Exterior, Common Area, Insurance, Other Maintenance Includes, Parking, Water",Maximum 20 Lbs,Active,Miami-Dade County,None,2020,Ok To Lease,Condo,21,VILLAS ANDALUCIA CONDO,Post,30,VILLAS ANDALUCIA CONDO,None,C2C,1010.0,,Concrete Block Construction,None,32.0,None,None,Condo/Co-Op/Villa/Townhouse,Condo 5+ Stories,1010,Resale,Condo 5+ Stories,None,None
buy,"Located in the highly desired Loch Lomond golf course community, this home sits on the largest lakefront property in Miami Lakes. With over 7,791 sqft this 6 Bed / 7.5 Bath estate is ready for a new owner that demands the very best life has to offer. This home was built for entertaining and has many venues to choose from including a waterfront pool, a large outdoor pavilion with built-in BBQ, and unparalleled lakefront views. The home has over 275 feet of direct lakefront access. This listing includes a separate 20,909 sqft lake-front lot with separate folio # (32-20-14-006-0020) valued at over $650,000.",6.0,7.0,1.0,"Dual Sinks, Separate Tub & Shower","Window Features: Drapes & Rods, Picture Window, Sliding","Central Cooling, Electric Cooling","Central Heat, Electric Heat","Breakfast Area, Formal Dining, Kitchen Dining",Deck,None,Lake Front,Y,"Below Ground Pool, Gunite",None,2.0,Circular Drive,None,None,None,None,None,"Courtesy Bus, Gated Community, Golf Course Community",Yes,Voluntary,150,Annually,13,None,More Than 20 Lbs,Active With Contract,Miami-Dade County,None,2020,Dock Restrictions,Single,20,MIAMI LAKES LOCH LOMOND E,Post,14,MIAMI LAKES LOCH LOMOND E,0100,C2C,7791.0,,CBS Construction,North West,50.0,"Concrete Roof, Flat Tile Roof",2,Single Family,WF/Pool/No Ocean Access,7791,Resale,Detached,Municipal Sewer,"Laked Drain, Municipal Water"
buy,"Beautiful property in the desired area of west Hialeah and Miami Lakes, easy access to Palmetto expressway, Markets, A+ schools and much more. Pool view, best located unit in the complex.Hurry, it wont last!",2.0,1.0,,None,First Floor Entry,Central Cooling,Electric Heat,Dining/Living Room,None,None,No Fixed Bridges,None,None,None,,"1 Space, Guest Parking",None,None,None,None,None,None,Yes,Condo,228,Monthly,228,"Common Area, Landscaping/Lawn Maintenance, Outside Maintenance, Parking, Pool Service, Roof Repairs, Security, Sewer, Trash Removal, Water",Restrictions Or Possible Restrictions,Pending,Miami-Dade County,GPS,2020,Ok To Lease,Condo,20,LOS PALACIOS BY MIAMI LAK,Post,25,LOS PALACIOS BY MIAMI LAK,None,C2C,780.0,,Concrete Block Construction,None,50.0,None,None,Condo/Co-Op/Villa/Townhouse,Condo 1-4 Stories,780,Effective Year Built,Condo 1-4 Stories,None,None
buy,"INVESTORS DREAM, NO RENTAL RESTRICTION. HUGE APARTMENT 1316 SF, CORNER UNIT, 3 BEDROOMS, 2 BATHROOMS. OPEN BALCONY, SECURE BUILDING, ELEVATOR, GREAT LOCATION, COMMUNITY POOL.",3.0,2.0,,Shower Only,Walk-In Closets,Central Cooling,Central Heat,"Breakfast Area, Eat-In Kitchen",Open Balcony,None,None,None,None,None,2.0,"2 Or More Spaces, Covered Parking",None,None,Twin Lakes,Hialeah-Miami Lakes,Palm Springs,None,No,"Condo, Homeowners",None,Monthly,0,"Common Area, Elevator, Landscaping/Lawn Maintenance, Pool Service, Trash Removal, Water",Maximum 20 Lbs,Active,Miami-Dade County,122 ST EAST TO WEST 6 AVE NORHT,2020,Ok To Lease,Condo,20,LANCASTER CONDO,Post,25,LANCASTER CONDO,None,C2C,1316.0,,"CBS Construction, Slab Construction",East,49.0,None,None,Condo/Co-Op/Villa/Townhouse,Co-Op 1-4 Stories,1316,Resale,Co-Op 1-4 Stories,None,None
buy,"This is a 3/2 pool home with 2 car garage in sought after area of Hialeah with a great floor plan, large bedrooms and screened patio. Near schools, restaurants and shopping. All this home needs is your personal touch.",3.0,2.0,,None,First Floor Entry,Central Cooling,Central Heat,None,Screened Porch,None,None,Y,Below Ground Pool,None,2.0,Driveway,None,None,Palm Lakes,Hialeah-Miami Lakes,Miami Lakes,None,None,None,None,None,None,None,None,Active,Miami-Dade County,None,2020,None,Single,20,PALM SPRINGS LAKES 5TH AD,Post,26,PALM SPRINGS LAKES 5TH AD,0100,C2C,2827.0,,CBS Construction,West,55.0,Shingle Roof,1,Single Family,Pool Only,2827,Resale,Attached,Municipal Sewer,Municipal Water
sold,StatusSoldPrice/SqFt$92TypeCondo/Townhome/RowHome/Co-OpBuilt2019,,,,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,None,None,,None,None,None,None,None,None,None,None,None
sold,StatusSoldPrice/SqFt$483TypeSingleFamilyHomeBuilt1959SchoolsElementarySchool:PalmettoHighSchool:MiamiPalmettoMiddleSchool:Palmetto,4.0,2.0,,Shower Only,"First Floor Entry
              Built-Ins
              Closet Cabinetry
              French Doors
          
        
        
          
              Skylight
              Walk-In Closets
              Window Features: Plantation Shutters","Central Cooling, Electric Cooling","Central Heat, Electric Heat",None,None,None,None,Y,Below Ground Pool,None,,"Driveway, Pavers","Garden View, Pool Area View","Dishwasher, Disposal, Dryer, Electric Water Heater, Icemaker, Microwave, Electric Range, Refrigerator, Smoke Detector, Wall Oven, Washer",Palmetto,Miami Palmetto,Palmetto,"Paved Road, Public Road",None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2019,No Restrictions,Single,50,SHANE ESTATES,Post,11,SHANE ESTATES,2100,C2C,2886.0,,CBS Construction,North,62.0,"Barrel Roof, Flat Roof With Facade Front",1,Single Family,Pool Only,2886,Resale,Detached,Septic Tank,Well Water
sold,StatusSoldPrice/SqFt$476TypeSingleFamilyHomeBuilt1991SchoolsElementarySchool:PinecrestHighSchool:MiamiPalmettoMiddleSchool:Palmetto,5.0,5.0,,"Dual Sinks, Separate Tub & Shower","Built-Ins
              Cooking Island
              Fireplace
              French Doors
              Laundry Tub
          
        
        
          
              Pantry
              Split Bedroom
              Volume Ceilings
              Walk-In Closets
              Window Features: Blinds/Shades, Impact Glass, Picture Window","Ceiling Fans, Central Cooling, Electric Cooling, Zoned Cooling","Central Heat, Electric Heat, Zoned Heat",None,None,None,None,Y,Below Ground Pool,None,2.0,"Circular Drive, Pavers","Garden View, Pool Area View","Dishwasher, Disposal, Dryer, Microwave, Owned Burglar Alarm, Electric Range, Refrigerator, Smoke Detector, Wall Oven, Washer",Pinecrest,Miami Palmetto,Palmetto,None,None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2019,No Restrictions,Single,50,MARTIN SUBURBAN ACRES,Post,1,MARTIN SUBURBAN ACRES,2300,C2C,5456.0,,CBS Construction,South,30.0,Curved/S-Tile Roof,1,Single Family,Pool Only,5456,Resale,Attached,Septic Tank,Municipal Water
sold,StatusSoldPrice/SqFt$528TypeSingleFamilyHomeBuilt2018SchoolsElementarySchool:PinecrestMiddleSchool:Palmetto,7.0,7.0,2.0,"Bidet, Dual Sinks, Shower Only","First Floor Entry
              Closet Cabinetry
              Foyer Entry
          
        
        
          
              Volume Ceilings
              Walk-In Closets
              Window Features: High Impact Windows, Impact Glass, Other Windows, Sliding","Central Cooling, Electric Cooling","Central Heat, Electric Heat",None,None,None,None,Y,Below Ground Pool,None,4.0,"Driveway, Pavers","Garden View, Pool Area View","Dishwasher, Disposal, Dryer, Electric Water Heater, Microwave, Gas Range, Refrigerator, Smoke Detector",Pinecrest,None,Palmetto,Other Subdiv/Park Info,None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2019,No Restrictions,Single,50,FLAGLER GROVES ESTATES SE,Post,2,FLAGLER GROVES ESTATES SE,2300,C2C,12374.0,0.0,"Concrete Block Construction, New Construction",North,3.0,Concrete Roof,2,Single Family,Pool Only,12374,New Construction,Detached,Septic Tank,Municipal Water
sold,StatusSoldPrice/SqFt$226TypeCondo/Townhome/RowHome/Co-OpBuilt2007,,,,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,None,None,,None,None,None,None,None,None,None,None,None
sold,StatusSoldPrice/SqFt$408TypeSingleFamilyHomeBuilt2007,5.0,4.0,,"Combination Tub & Shower, Dual Sinks","First Floor Entry
              Bar
          
        
        
          
              Built-Ins
              Closet Cabinetry","Ceiling Fans, Electric Cooling",Electric Heat,None,None,None,None,Y,Below Ground Pool,None,2.0,Covered Parking,None,"Automatic Garage Door Opener, Dishwasher, Microwave, Electric Range, Refrigerator, Self Cleaning Oven, Wall Oven, Washer",None,None,None,None,None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2019,No Restrictions,Single,50,PINECREST ARABESQUE,Post,10,PINECREST ARABESQUE,0100,C2C,4643.0,,CBS Construction,North,14.0,Barrel Roof,1,Single Family,Pool Only,4643,Resale,Detached,Septic Tank,Municipal Water
sold,StatusSoldPrice/SqFt$236TypeCondo/Townhome/RowHome/Co-OpBuilt2006SchoolsElementarySchool:KenwoodHighSchool:SouthMiamiMiddleSchool:Glades,1.0,1.0,,Combination Tub & Shower,"Built-Ins
              Closet Cabinetry
              Cooking Island
              Fire Sprinklers
          
        
        
          
              Volume Ceilings
              Walk-In Closets
              Window Features: Blinds/Shades, Drapes & Rods, High Impact Windows, Impact Glass, Sliding",Central Cooling,Central Heat,None,None,None,None,None,None,None,1.0,"Assigned Parking, Covered Parking, Valet Parking","Garden View, Other View","Dishwasher, Disposal, Dryer, Fire Alarm, Microwave, Electric Range, Refrigerator, Self Cleaning Oven, Smoke Detector, Washer",Kenwood,South Miami,Glades,None,Yes,Condo,650,Monthly,650,"All Amenities, Building Exterior, Cable Tv, Common Area, Elevator, Internet/WiFi, Landscaping/Lawn Maintenance, Manager, Outside Maintenance, Parking, Pool Service, Recreation Facilities, Security, Sewer, Trash Removal, Water",None,Closed Sale,Miami-Dade County,"Metropolis II building Located across from Dadeland mall (next door to Publix, Marriott, & Downtown Dadeland). GPS, Waze, Google Maps.",2019,Ok To Lease,Condo,50,METROPOLIS II AT DADELAND,Post,2,METROPOLIS II AT DADELAND,None,C2C,882.0,0.0,Concrete Block Construction,South West,15.0,None,None,Condo/Co-Op/Villa/Townhouse,Condo 5+ Stories,882,New Construction,Condo 5+ Stories,None,None
sold,StatusSoldPrice/SqFt$316TypeSingleFamilyHomeBuilt1954SchoolsElementarySchool:PalmettoHighSchool:MiamiPalmettoMiddleSchool:Palmetto,4.0,3.0,1.0,"Dual Sinks, Separate Tub & Shower","Fireplace
              Pantry
              Skylight
              Split Bedroom
          
        
        
          
              Vaulted Ceilings
              Walk-In Closets
              Window Features: Awning, Sliding","Ceiling Fans, Central Cooling, Electric Cooling, Zoned Cooling","Central Heat, Electric Heat, Zoned Heat",None,None,None,None,Y,Below Ground Pool,None,,Circular Drive,"Garden View, Pool Area View","Dishwasher, Disposal, Dryer, Electric Water Heater, Microwave, Owned Burglar Alarm, Electric Range, Refrigerator, Wall Oven, Washer",Palmetto,Miami Palmetto,Palmetto,None,None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2019,No Restrictions,Single,50,OAKRIDGE ESTATES SEC 2,Post,11,OAKRIDGE ESTATES SEC 2,2300,C2C,4031.0,,CBS Construction,West,67.0,"Composition Roll, Shingle Roof","1, 1",Single Family,Pool Only,4031,Resale,Attached,Septic Tank,Municipal Water
sold,StatusSoldPrice/SqFt$589TypeSingleFamilyHomeBuilt2015SchoolsElementarySchool:PinecrestHighSchool:MiamiPalmettoMiddleSchool:Palmetto,7.0,8.0,2.0,"Dual Sinks, Separate Tub & Shower","First Floor Entry
              Closet Cabinetry
              Custom Mirrors
              Fireplace
              Fire Sprinklers
          
        
        
          
              Pantry
              Volume Ceilings
              Walk-In Closets
              Window Features: Blinds/Shades, High Impact Windows, Impact Glass, Plantation Shutters","Central Cooling, Electric Cooling","Central Heat, Electric Heat",None,None,None,None,Y,Below Ground Pool,None,3.0,"Circular Drive, Covered Parking",Garden View,"Dishwasher, Disposal, Dryer, Electric Water Heater, Elevator, Fire Alarm, Icemaker, Microwave, Electric Range, Refrigerator, Self Cleaning Oven, Smoke Detector, Wall Oven, Washer",Pinecrest,Miami Palmetto,Palmetto,None,None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2019,No Restrictions,Single,50,KILLIAN ACRES,Post,12,KILLIAN ACRES,2300,C2C,10423.0,,"Concrete Block Construction, CBS Construction",South East,6.0,Barrel Roof,2,Single Family,Pool Only,10423,Resale,Detached,Septic Tank,Municipal Water
